model_kind,feature_set,training_transactions,training_fraud_prevalence,transactions,fraud_count,fraud_prevalence,precision,recall,F1,AP,threshold,alerts,alert_rate,TP,FP,FN,TN
logistic,full,1951895,0.0018663913786346,410437,560,0.0013643994084353,1.0,1.0,1.0,1.0,0.9117386299003928,560,0.0013643994084353,560,0,0,409877
logistic,amount_and_type_only,1951895,0.0018663913786346,410437,560,0.0013643994084353,0.0071612718418791,0.0446428571428571,0.0123426314490249,0.0033172805148959,0.8623676937986564,3491,0.0085055684550856,25,3466,535,406411
