model,transactions,fraud_count,fraud_prevalence,precision,recall,F1,AP,threshold,alerts,alert_rate,TP,FP,FN,TN,fit_and_score_seconds
Logistic Regression (balanced),410437,560,0.0013643994084353993,0.9929078014184397,1.0,0.99644128113879,1.0,0.5,564,0.001374145118495652,560,4,0,409873,2.0587259999992966
Histogram GB (ordinary),410437,560,0.0013643994084353993,0.9982174688057041,1.0,0.9991079393398751,1.0,0.5,561,0.0013668358359504626,560,1,0,409876,8.21642079099911
Histogram GB (balanced),410437,560,0.0013643994084353993,0.9621993127147767,1.0,0.9807355516637478,0.9999999999999999,0.5,582,0.00141800081376679,560,22,0,409855,8.313449165998463
